Distance,Energy
1.5,0.7282001252212584
1.5070140280561122,0.6905571269622026
1.5140280561122244,0.6542626979240365
1.5210420841683367,0.6192725076371413
1.528056112224449,0.5855436163724268
1.535070140280561,0.5530344335440609
1.5420841683366733,0.5217046772976097
1.5490981963927857,0.49151533525089874
1.5561122244488979,0.46242862635580106
1.56312625250501,0.4344079638499392
1.5701402805611222,0.4074179192683416
1.5771543086172344,0.38142418748572293
1.5841683366733468,0.35639355276119167
1.591182364729459,0.3322938557575461
1.5981963927855711,0.309093961508482
1.6052104208416833,0.2867637283075757
1.6122244488977957,0.26527397749363324
1.6192384769539079,0.2445964641077749
1.62625250501002,0.22470384839819335
1.6332665330661322,0.20556966814929956
1.6402805611222444,0.18716831181249916
1.6472945891783568,0.16947499241652864
1.654308617234469,0.15246572223581722
1.6613226452905812,0.13611728819605062
1.6683366733466933,0.12040722799642234
1.6753507014028055,0.10531380692899761
1.682364729458918,0.0908159953757135
1.68937875751503,0.07689344696438649
1.6963927855711423,0.06352647736543338
1.7034068136272544,0.050696043711592864
1.7104208416833666,0.03838372462329653
1.717434869739479,0.026571700822947797
1.7244488977955912,0.015242736321697148
1.7314629258517034,0.004380160162807734
1.7384769539078158,-0.006032151293918986
1.745490981963928,-0.016009791561689912
1.75250501002004,-0.025567840704960876
1.7595190380761523,-0.034720881520642344
1.7665330661322645,-0.04348301523610365
1.7735470941883769,-0.05186787673757465
1.780561122244489,-0.05988864934195082
1.7875751503006012,-0.06755807912487999
1.7945891783567134,-0.07488848881737686
1.8016032064128256,-0.08189179128303037
1.808617234468938,-0.08857950258740255
1.8156312625250501,-0.09496275467072923
1.8226452905811623,-0.10105230763481288
1.8296593186372745,-0.10685856165423768
1.8366733466933867,-0.11239156852179999
1.843687374749499,-0.11766104283720091
1.8507014028056112,-0.12267637284750998
1.8577154308617234,-0.12744664447546183
1.8647294589178358,-0.1319806030976678
1.8717434869739478,-0.13628672973307365
1.8787575150300602,-0.1403732098444892
1.8857715430861723,-0.14424795210982477
1.8927855711422845,-0.1479185974215409
1.899799599198397,-0.1513925276054402
1.906813627254509,-0.15467687386624052
1.9138276553106213,-0.15777852496708666
1.9208416833667334,-0.1607041467601027
1.9278557114228456,-0.16346014798826625
1.934869739478958,-0.16605274538964343
1.9418837675350702,-0.1684879353077049
1.9488977955911824,-0.1707715089978179
1.9559118236472945,-0.1729090594091094
1.9629258517034067,-0.17490598775833277
1.9699398797595191,-0.17676750990391188
1.9769539078156313,-0.17849866252872015
1.9839679358717435,-0.18010430914081432
1.9909819639278556,-0.18158914590206088
1.9979959919839678,-0.18295770729564165
2.00501002004008,-0.18421437164498977
2.012024048096192,-0.18536336649834784
2.0190380761523046,-0.18640877389570631
2.026052104208417,-0.1873545355379287
2.033066132264529,-0.18820445788171902
2.0400801603206413,-0.18896221718920048
2.0470941883767537,-0.1896313645670249
2.0541082164328657,-0.19021533103791732
2.061122244488978,-0.19071743269726937
2.06813627254509,-0.1911408760196447
2.0751503006012024,-0.1914887633948208
2.0821643286573144,-0.1917640989914866
2.0891783567134268,-0.19196979506850997
2.096192384769539,-0.19210867888042804
2.103206412825651,-0.1921835003547665
2.1102204408817635,-0.19219694075544558
2.117234468937876,-0.1921516225872959
2.124248496993988,-0.19205012104230468
2.1312625250501003,-0.19189497733473715
2.1382765531062127,-0.1916887252226669
2.1452905811623246,-0.19143387050205174
2.152304609218437,-0.19113296594871798
2.159318637274549,-0.19078860363811456
2.1663326653306614,-0.19040345185080643
2.1733466933867733,-0.18998028850407378
2.1803607214428857,-0.18952203866552653
2.187374749498998,-0.18903181551270842
2.19438877755511,-0.1885129633161955
2.2014028056112225,-0.1879690999090622
2.208416833667335,-0.18740415463542437
2.215430861723447,-0.18682239599524797
2.2224448897795592,-0.1862284413056945
2.2294589178356716,-0.18562723906406253
2.2364729458917836,-0.18502401393396983
2.2434869739478955,-0.18442416517383542
2.250501002004008,-0.18383311265447944
2.2575150300601203,-0.1832560907725833
2.2645290581162323,-0.1826978991772199
2.2715430861723447,-0.1821626288695497
2.278557114228457,-0.18165339065172414
2.285571142284569,-0.18117207773783806
2.2925851703406814,-0.18071919420007632
2.299599198396794,-0.18029377610164055
2.306613226452906,-0.1798934243468837
2.313627254509018,-0.17951445833750457
2.32064128256513,-0.17915219314765451
2.3276553106212425,-0.1788013195157805
2.3346693386773545,-0.17845634793330456
2.341683366733467,-0.1781120509880978
2.3486973947895793,-0.1777638209652035
2.3557114228456912,-0.17740790404695694
2.3627254509018036,-0.17704142979494453
2.369739478957916,-0.17666237504876126
2.376753507014028,-0.17626941412417807
2.3837675350701404,-0.17586176407861354
2.390781563126253,-0.175439040534366
2.3977955911823647,-0.1750011397174447
2.4048096192384767,-0.17454814895227955
2.411823647294589,-0.17408027372335555
2.4188376753507015,-0.17359783057579525
2.4258517034068134,-0.1731011469745729
2.432865731462926,-0.17259059885030048
2.4398797595190382,-0.17206657548822202
2.44689378757515,-0.17152947133572516
2.4539078156312626,-0.17097968034667055
2.460921843687375,-0.17041759227025288
2.467935871743487,-0.16984359032291385
2.4749498997995993,-0.16925804981159542
2.4819639278557113,-0.1686613374010455
2.4889779559118237,-0.16805381081373394
2.4959919839679356,-0.1674358188142704
2.503006012024048,-0.16680770138456813
2.5100200400801604,-0.16616979001771348
2.5170340681362724,-0.16552240808751773
2.524048096192385,-0.16486587126134644
2.531062124248497,-0.16420048793451958
2.538076152304609,-0.163526559670907
2.5450901803607215,-0.16284438163887582
2.552104208416834,-0.16215424303496828
2.559118236472946,-0.16145642748911015
