a,c,Energy,Volume
3.7224000000000004,6.0426,-8.685929682882303,72.51044277548985
3.7224000000000004,6.0700040816326535,-8.69215205968406,72.83928832095685
3.7224000000000004,6.097408163265307,-8.698358540364987,73.16813386642399
3.7224000000000004,6.124812244897959,-8.704540402579843,73.49697941189103
3.7224000000000004,6.1522163265306125,-8.710688408139537,73.8258249573581
3.7224000000000004,6.179620408163266,-8.716796847900186,74.15467050282517
3.7224000000000004,6.207024489795919,-8.72286077798446,74.48351604829224
3.7224000000000004,6.234428571428571,-8.728877109453068,74.81236159375935
3.7224000000000004,6.261832653061225,-8.734844938473067,75.14120713922641
3.7224000000000004,6.289236734693878,-8.740763621842474,75.47005268469353
3.7224000000000004,6.316640816326531,-8.746632660967752,75.79889823016059
3.7224000000000004,6.344044897959184,-8.752450594723445,76.1277437756276
3.7224000000000004,6.371448979591837,-8.758217401783636,76.45658932109471
3.7224000000000004,6.39885306122449,-8.763933520764713,76.78543486656176
3.7224000000000004,6.426257142857144,-8.769598305889236,77.11428041202888
3.7224000000000004,6.453661224489796,-8.775212527330554,77.44312595749595
3.7224000000000004,6.481065306122449,-8.78077547944562,77.77197150296301
3.7224000000000004,6.5084693877551025,-8.78628681270936,78.10081704843005
3.7224000000000004,6.535873469387756,-8.791747235657764,78.42966259389713
3.7224000000000004,6.563277551020408,-8.797156328627771,78.75850813936422
3.7224000000000004,6.5906816326530615,-8.802514909420967,79.08735368483133
3.7224000000000004,6.618085714285715,-8.807823685361061,79.41619923029837
3.7224000000000004,6.645489795918368,-8.81308251230195,79.74504477576549
3.7224000000000004,6.6728938775510205,-8.818291320333467,80.07389032123254
3.7224000000000004,6.700297959183674,-8.823450091734127,80.40273586669959
3.7224000000000004,6.727702040816327,-8.828560739607815,80.73158141216668
3.7224000000000004,6.75510612244898,-8.833622153061436,81.06042695763375
3.7224000000000004,6.782510204081633,-8.838636833613691,81.38927250310077
3.7224000000000004,6.809914285714286,-8.843603967703235,81.71811804856794
3.7224000000000004,6.837318367346939,-8.84852441850653,82.046963594035
3.7224000000000004,6.864722448979593,-8.853398598009836,82.37580913950205
3.7224000000000004,6.892126530612245,-8.858228135741445,82.70465468496914
3.7224000000000004,6.919530612244898,-8.86301248402048,83.03350023043618
3.7224000000000004,6.946934693877552,-8.867753276769852,83.36234577590325
3.7224000000000004,6.974338775510205,-8.872450078378558,83.69119132137034
3.7224000000000004,7.001742857142857,-8.877105166790749,84.02003686683744
3.7224000000000004,7.0291469387755106,-8.881717832033601,84.3488824123045
3.7224000000000004,7.056551020408164,-8.886290380249804,84.67772795777161
3.7224000000000004,7.083955102040817,-8.89082206829439,85.00657350323866
3.7224000000000004,7.1113591836734695,-8.895313461115094,85.33541904870572
3.7224000000000004,7.138763265306123,-8.899766928057284,85.6642645941728
3.7224000000000004,7.166167346938776,-8.904181126303683,85.99311013963984
3.7224000000000004,7.193571428571429,-8.908557630003882,86.32195568510694
3.7224000000000004,7.220975510204083,-8.912896543947758,86.65080123057396
3.7224000000000004,7.248379591836735,-8.917203173432434,86.97964677604111
3.7224000000000004,7.275783673469388,-8.921484763078274,87.30849232150818
3.7224000000000004,7.303187755102042,-8.925744548577828,87.63733786697523
3.7224000000000004,7.330591836734694,-8.929983704287082,87.9661834124423
3.7224000000000004,7.357995918367347,-8.934201452756616,88.29502895790935
3.7224000000000004,7.385400000000001,-8.938394627142667,88.62387450337644
3.7392816326530616,6.0426,-8.695541586128114,73.16962522944199
3.7392816326530616,6.0700040816326535,-8.701558507546753,73.50146026449607
3.7392816326530616,6.097408163265307,-8.70756759398868,73.8332952995503
3.7392816326530616,6.124812244897959,-8.713553684791776,74.16513033460443
3.7392816326530616,6.1522163265306125,-8.719508022300543,74.49696536965857
3.7392816326530616,6.179620408163266,-8.725426270881712,74.82880040471274
3.7392816326530616,6.207024489795919,-8.73130444431763,75.16063543976689
3.7392816326530616,6.234428571428571,-8.73714058698834,75.49247047482109
3.7392816326530616,6.261832653061225,-8.742932904842078,75.82430550987522
3.7392816326530616,6.289236734693878,-8.748680132230051,76.15614054492943
3.7392816326530616,6.316640816326531,-8.754380931698051,76.48797557998358
3.7392816326530616,6.344044897959184,-8.760034861097346,76.81981061503767
3.7392816326530616,6.371448979591837,-8.76563994286805,77.15164565009185
3.7392816326530616,6.39885306122449,-8.771197149276235,77.48348068514599
3.7392816326530616,6.426257142857144,-8.776705515953822,77.81531572020019
3.7392816326530616,6.453661224489796,-8.782165794682715,78.14715075525436
3.7392816326530616,6.481065306122449,-8.787577416820062,78.4789857903085
3.7392816326530616,6.5084693877551025,-8.792940010567314,78.81082082536261
3.7392816326530616,6.535873469387756,-8.798254283492705,79.1426558604168
3.7392816326530616,6.563277551020408,-8.803519095467879,79.47449089547098
3.7392816326530616,6.5906816326530615,-8.808736031159686,79.80632593052515
3.7392816326530616,6.618085714285715,-8.813904673592164,80.13816096557929
3.7392816326530616,6.645489795918368,-8.819024026926385,80.46999600063349
3.7392816326530616,6.6728938775510205,-8.824096815825849,80.80183103568763
3.7392816326530616,6.700297959183674,-8.829121842464986,81.13366607074175
3.7392816326530616,6.727702040816327,-8.83409911995939,81.46550110579594
3.7392816326530616,6.75510612244898,-8.839029696769009,81.79733614085009
3.7392816326530616,6.782510204081633,-8.843913756204813,82.12917117590419
3.7392816326530616,6.809914285714286,-8.848752342261255,82.46100621095844
3.7392816326530616,6.837318367346939,-8.853545662085338,82.7928412460126
3.7392816326530616,6.864722448979593,-8.858294377577927,83.12467628106673
