generation,best_fitness,avg_fitness,std_fitness
1,0.008097517926316838,0.006170110351613959,0.0031672282277921617
2,0.008142568749062771,0.004669474469095158,0.0038430128083353048
3,0.008142568749063139,0.006370416475641734,0.0031922349219403066
4,0.008171386242786557,0.006056460240835051,0.002621763972357517
5,0.008171386242786264,0.005212229917035777,0.0027156195148949017
6,0.008171386242786264,0.005243212978914538,0.0034895157525002777
7,0.008171386242786264,0.00555758075019067,0.0030836218950765245
8,0.0081927348747944,0.005133942793183381,0.003479922824264697
9,0.00819273487479448,0.006034873592307545,0.0024609957370068008
10,0.008193808437957544,0.005549640185623274,0.0036559532824807514
11,0.008193808437957507,0.006059503761011318,0.0025348762728702907
12,0.008193808437957507,0.0037698985118314586,0.0032773788594885984
13,0.0081961824090438,0.006037580596842311,0.0031450276295681067
14,0.008196182409043773,0.005863650553410267,0.003114787991490309
15,0.00823030865221081,0.005918208795822921,0.0030750489466643827
16,0.00823030865221078,0.0026879383908698473,0.003560105084897613
17,0.008230895094108251,0.004800989495621698,0.003922957882513566
18,0.008230895094107616,0.0031534024296708115,0.003870063746433704
19,0.00823180183082129,0.005951852631016466,0.003129993064219402
20,0.008231801830821147,0.0056664546974444846,0.00371130984813149
