evaluation,best_fitness
1,0.09460899835968048
2,0.030916924712650107
3,0.6076211259929999
4,0.04123902391395743
5,0.472706907257637
6,0.16328540854460014
7,0.10244900103923338
8,0.2464674209530623
9,0.24685033609911686
10,0.12043259497421725
11,0.04023062656545219
12,0.42857973458274784
13,0.2628456912447952
14,0.49628989771682896
15,0.06939610189529197
16,0.38475488984616224
17,0.3169910406695264
18,0.1968170728305756
19,0.15104155400020788
20,0.12459525042225932
21,0.5969103811842016
22,0.5110530435409889
23,0.06569784959071252
24,0.5384828040206155
25,0.14305054343236578
26,0.15470908517629475
27,0.13069234200889604
28,0.052694757370912344
29,0.14053341378180298
30,0.044775833377068225
31,0.1536476835293302
32,0.14777917830955112
33,0.22182842016938914
34,0.08682046454115079
35,0.07950552394282108
36,0.15131411227422606
37,0.03121567641051607
38,0.49233891871988084
39,0.1220865026154683
40,0.44279544393955433
41,0.2179855812629448
42,0.11511018035769406
43,0.11552413561194172
44,0.06082175450088236
45,0.11055646128770841
46,0.22924068994020244
47,0.055705647669474084
48,0.3616286286894453
49,0.2111170529229541
50,0.931545486520076
51,0.239744605960119
52,0.4069386178858137
53,0.7247985933540395
54,0.351428040357721
55,0.04223299481216845
56,0.09690620693944994
57,0.0305851124371405
58,0.27460179204513063
59,0.25791496789746937
60,0.07072357491433005
61,0.3103334323239783
62,0.10387185517881622
63,0.10835463003383285
64,0.19439807216220711
65,0.6286405342161345
66,0.25050097566168283
67,0.6724878516908673
68,0.06931344747600535
69,0.0790611118633868
70,0.08752981427989504
71,0.14653275955174005
72,0.501583074971364
73,0.22331768198543028
74,0.35371175765106644
75,0.03732035848706269
76,0.09795917335817998
77,0.3765190352082933
78,0.36036460082757926
79,0.21204621609513935
80,0.28607553989960105
81,0.331842879142178
82,0.16221698005924282
83,0.24800915688548877
84,0.17349919859865304
85,0.03695414242911478
86,0.3586143720469512
87,0.20016514784461978
88,0.30849850613891433
89,0.21363337172483138
90,0.12571591038076474
91,0.09855914429553222
92,0.34041360360318174
93,0.18291217892808925
94,0.2149979548597122
95,0.13529613266808216
96,0.5289606458862262
97,0.1626987997426942
98,0.3963359611327781
99,0.8626199759119223
100,0.12117302512263427
101,0.18577391810073224
