generation,best_fitness,avg_fitness,std_fitness
0,1000.6889220840404,3083.854347337981,861.9156593074396
1,1000.6893999508374,2917.2441030470295,861.944604658749
2,1000.1416923364723,3167.05847125631,1213.303613861677
3,1000.1088824293515,3166.994779795569,1142.5655087514622
4,1000.3871442082684,3250.288229128246,1010.3629079376699
5,1000.1807984175529,3000.290790765872,1080.1326132578613
6,1000.1569995972313,3000.228469752989,1080.191112323238
7,1000.3671863453602,2666.88435847659,942.7310585216708
8,2000.0991131138828,2417.101868843429,640.1194441082547
9,1000.0794090321291,3000.1665245493255,999.9778073885936
10,1000.1880188227046,3083.4930263045294,1381.9641055012155
11,1000.1153845069427,2583.4582407294533,953.8084763237555
12,1000.0938159617177,2583.4696377093046,1114.8799457744685
13,0.09981593861556257,2166.771364183334,985.9993909016628
14,2000.0683449731523,3083.508080359134,953.7302790043253
15,1000.0870798998252,2750.1260243554843,1163.648921339269
16,1000.1320756569859,2500.111042774055,645.474622581708
17,1000.2550488959046,2416.8365961077643,861.8904423458182
18,1000.1372269006722,1917.0498627991249,759.2859633371954
19,1000.3181764693479,2166.947935448381,985.9427545195457
20,1000.1071163876984,1833.5895341392904,687.2539858072072
21,1000.0371823076845,1416.8117174748525,640.1654978666733
22,1000.0313525897978,1250.0890101840434,433.0137911704458
23,1000.0356087400908,1833.4181376105364,687.1993848792072
24,1000.0233059098723,2083.411796761121,640.0866430879493
25,1000.0271238730616,1916.7011846500961,640.0869589418695
26,1000.0350275695546,1666.7256921944727,623.6014629713083
27,0.04811891984611133,1250.0704547676705,829.1703386454956
28,1000.0158533010739,2166.7533008243513,1213.3375482814643
29,0.024566980550193906,1833.401304098298,1142.611693295629
30,1000.0184850011635,1833.394796119369,687.1760087727073
31,0.0077284864923086545,1833.3921886094656,1067.2022456894852
32,0.017961786402453602,1083.3844684531414,640.0985237107931
33,0.025540628201044368,1583.3826334199687,862.033704231794
34,1000.0257878642257,1666.7350309903884,849.8618401258752
35,1000.0174963659507,1500.0543830070492,763.7662696806723
36,1000.0335197850126,1500.0586128392604,645.4922887584654
37,0.05190646757699754,1166.726389546196,552.7714421885279
38,1000.0167282465013,1833.366868086904,799.3003287406922
39,1000.0160918078427,1333.377761226453,471.39870530277705
40,1000.0050743861998,1500.0413419488834,500.01113855911785
41,1000.0079123472997,1333.3803527189348,471.39867787419865
42,0.018661566413138264,1083.369396564017,493.0118265360203
43,1000.0097605928626,1000.0429371653236,0.02280448746922931
44,1000.0187304750924,1333.3628467588403,471.401891629077
45,1000.0049083469811,1083.3653569368787,276.4037346960844
46,0.04200369204025748,1000.0242440473099,408.2448484207611
47,0.019459693090099223,1083.3622951406699,640.0978982937457
48,0.022741218628467057,1083.3736176804216,759.2061015541129
49,0.03315030268841923,1083.3570044578003,493.00122773224587
