evaluation,best_fitness
1,0.037012485139978034
2,0.04820052052233002
3,2.961258404427551
4,0.040728167152380534
5,0.4827866023492469
6,0.06470514954821502
7,0.04879903618128099
8,0.054250352627547356
9,0.12629266016597018
10,0.024893038155712352
11,0.1836903765341906
12,0.12389489887655714
13,0.08192770964850599
14,0.15223939674414413
15,0.05395059295543024
16,0.23541130793658158
17,0.09917621855141759
18,0.06355343322037867
19,0.582697614387392
20,0.02336216641919441
21,0.061716077168711775
22,0.03721260538807018
23,0.03894895492249718
24,0.05871300638309182
25,0.7949905974836694
26,0.06423004714968154
27,0.12977963155498745
28,0.391343882885596
29,7.919981033532858
30,0.5959905174115996
31,0.4586540688609526
32,0.3636333041272974
33,0.10703263740416671
34,0.08440130545884206
35,0.06132606375076617
36,0.04448303601991487
37,0.07137918765839381
38,0.21084645903651214
39,0.3436459925452741
40,0.017162792069680844
41,0.7419921747563218
42,0.0384950676932373
43,0.990192514167589
44,0.09206243611750631
45,0.11517186098729468
46,0.09053326211106417
47,0.1308583887340706
48,0.0570576100241378
49,0.14276785323657745
50,0.056210160274817934
51,0.10884066005528066
52,0.04751200194577361
53,0.07901073997246147
54,0.09427251256368964
55,0.06288421273039892
56,0.054058650359567265
57,0.030083278626689733
58,0.06893477893915136
59,0.012212336272444148
60,0.06363663084956149
61,0.06838364718937405
62,0.10590782694807797
63,0.3829516688493353
64,0.2767714112952241
65,0.1187462767296027
66,0.19816621418314925
67,0.1921795705189328
68,0.0674090279196982
69,0.25070880883129154
70,0.04990199746772447
71,0.09495002613439509
72,0.09001798958322488
73,0.0320133959956351
74,0.04619338759604581
75,0.019868985753309948
76,0.12630328192678356
77,0.03751948232890886
78,0.1399009108404415
79,0.07833511048551917
80,0.1145295565200577
81,0.12451416173361579
82,0.035623162388473996
83,0.30408340389602495
84,0.08476656718371757
85,0.02542112907186804
86,0.07024760680761988
87,0.8914930098619823
88,0.1475020968097886
89,6.282967494729286
90,0.1410779687296681
91,0.03585685082703196
92,0.26068711349460977
93,0.13623635299432402
94,0.01886777469695572
95,0.0701149518310773
96,0.05263448099637163
97,0.09420939127936566
98,3.4604937004821603
99,0.4873444060472122
100,0.05375029058718714
101,0.05547609936721576
