iteration,best_fitness
0,0.04302761962171059
1,0.04302761962171059
2,0.04302761962171059
3,0.01991260934970575
4,0.01991260934970575
5,0.014566317576619478
6,0.014566317576619478
7,0.014105616281566594
8,0.013690015138896465
9,0.013690015138896465
10,0.013690015138896465
11,0.013573797873021761
12,0.013573797873021761
13,0.012900507038795979
14,0.012900507038795979
15,0.012451046697057933
16,0.011936938213494145
17,0.011494113862528358
18,0.010898213676536045
19,0.010175985860082781
20,0.010127315628926848
21,0.010127315628926848
22,0.010127315628926848
23,0.010080185258512276
24,0.010080185258512276
25,0.010080185258512276
