iteration,best_fitness
0,0.20349826984242167
1,0.15731030833728
2,0.06600986893979312
3,0.05172273548688712
4,0.0310734181813126
5,0.019637278904977372
6,0.019637278904977372
7,0.019637278904977372
8,0.019637278904977372
9,0.019637278904977372
10,0.019637278904977372
