calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4523.8021,-267.35070308,2.143,2.1903
-4524.1223,-267.15670122,2.192,2.2052
-4523.6771,-267.54140797,2.1549999999999994,2.1904
-4523.8666,-267.37312791,2.1670000000000007,2.1975
-4523.7571,-266.71317979,2.1879999999999997,2.1837
-4524.1623,-266.64440576,2.1129999999999995,2.1152
-4523.4486,-267.12894106,2.1030000000000006,2.1092
-4524.0188,-267.03635617,2.1880000000000006,2.2012
-4523.9218,-267.32786933,2.1739999999999995,2.1894
-4524.2857,-267.7770934,2.21,2.2105
-4524.0111,-267.73120231,2.184,2.1825
-4524.3793,-266.49616585,2.1959999999999997,2.164
-4523.9167,-267.56313199,2.1340000000000003,2.1677
-4524.4576,-267.60221836,2.2010000000000005,2.2348
-4524.0374,-265.25318345,2.1739999999999995,2.1292
-4524.0368,-267.63816021,2.1630000000000003,2.2061
-4524.2,-265.82906585,2.194,2.1779
-4524.6216,-266.1993673,2.21,2.1863
-4523.3016,-265.25870546,2.1210000000000004,2.1088
-4524.6326,-266.21414973,2.2399999999999993,2.2005
-4524.3674,-266.55533592,2.215,2.203
-4523.7356,-267.92482522,2.1390000000000002,2.179
-4523.4206,-266.96833674,2.107,2.1576
-4522.7807,-265.3545731,2.021,2.0397
-4523.8771,-266.90636331,2.0969999999999995,2.1025
-4523.8687,-266.86884992,2.1470000000000002,2.1807
-4523.2124,-266.36300272,2.138,2.1604
-4523.684,-266.54340189,2.2,2.1974
-4524.4472,-266.77053898,2.226,2.2201
-4524.3479,-266.11439008,2.1990000000000007,2.1369
-4523.9239,-267.25340735,2.165,2.2138
-4524.1188,-265.38098665,2.216,2.2258
-4523.8152,-268.10373337,2.167,2.2194
-4523.4092,-266.67479172,2.1290000000000004,2.1533
-4524.3625,-265.46611875,2.213,2.1756
-4524.507,-267.15569564,2.208,2.205
-4523.433,-267.02356155,2.122,2.1709
-4523.7662,-266.84910718,2.176,2.1867
-4523.8916,-267.79999713,2.122,2.1308
-4524.0102,-267.80312509,2.167,2.214
-4523.7941,-265.41714021,1.9909999999999997,2.0451
-4523.934,-266.93886726,2.154,2.1399
-4523.1695,-266.44331013,2.0949999999999998,2.1454
-4523.5892,-267.2433388,2.1100000000000003,2.1572
-4523.8529,-265.84323663,2.1639999999999997,2.13
-4523.1812,-266.63123969,2.1530000000000005,2.17
-4524.2161,-266.09969004,2.197,2.1716
-4523.7239,-267.60643736,2.1420000000000003,2.1902
-4523.6228,-265.93988087,2.176,2.1941
-4524.2581,-267.14471321,2.2070000000000007,2.1683
-4525.4821,-269.62971251,2.2410000000000005,2.2176
-4525.5981,-269.09413757,2.247,2.1936
-4525.9647,-269.22289461,2.2960000000000003,2.2156
-4525.0923,-269.25299633,2.2249999999999996,2.2337
-4525.5448,-269.41768295,2.263,2.209
-4525.0302,-269.71189862,2.2359999999999998,2.229
-4525.6658,-269.26239767,2.21,2.1934
-4525.603,-269.51556336,2.2430000000000003,2.1899
-4524.6781,-268.79695262,2.2250000000000005,2.1738
-4524.9655,-269.5229275,2.1870000000000003,2.1826
-4525.2439,-269.51298334,2.2110000000000003,2.2224
-4525.1593,-269.43106019,2.239,2.2204
-4526.049,-269.16089389,2.2889999999999997,2.2131
-4525.7006,-269.84035408,2.21,2.2009
-4524.9371,-269.27956985,2.2060000000000004,2.1816
-4526.3609,-269.57795898,2.284,2.2189
-4526.2756,-269.8697421,2.2800000000000002,2.2342
-4526.1847,-269.12482395,2.2269999999999994,2.162
-4525.7517,-268.94780768,2.2540000000000004,2.1769
-4525.468,-269.62602358,2.213,2.1981
-4525.9291,-269.54922462,2.258,2.2246
-4525.6706,-269.63617975,2.224,2.2075
-4525.9742,-269.04096152,2.237,2.1754
-4525.2541,-269.38865967,2.2,2.1842
-4525.6276,-269.20975794,2.258,2.2328
-4525.4006,-269.58257558,2.218,2.2132
-4525.681,-269.37192084,2.2540000000000004,2.2242
-4525.3967,-268.71246588,2.202,2.1887
-4525.2817,-269.65324953,2.1980000000000004,2.2078
-4525.7271,-269.62980872,2.229,2.2153
-4525.6903,-269.27198307,2.279,2.2011
-4525.7816,-269.39207641,2.2810000000000006,2.2144
-4525.323,-268.79546735,2.2780000000000005,2.2028
-4525.9005,-269.47486178,2.2670000000000003,2.2309
-4525.659,-269.06790563,2.24,2.2049
-4526.4062,-269.36692795,2.2249999999999996,2.1823
-4525.7753,-269.4130829,2.2669999999999995,2.2041
-4525.361,-269.011555,2.2750000000000004,2.2102
-4525.5512,-269.60475637,2.2459999999999996,2.2116
-4525.1029,-269.82282249,2.1900000000000004,2.2016
-4525.3708,-268.86361404,2.279,2.2041
-4525.7511,-269.4787468,2.287,2.2285
-4525.8286,-269.74213736,2.2269999999999994,2.1952
-4525.3889,-268.94814917,2.226,2.2269
-4526.1258,-269.55306459,2.2589999999999995,2.2358
-4525.3201,-269.94613572,2.2270000000000003,2.2308
-4526.3477,-269.42061311,2.3,2.217
-4525.2087,-269.21636134,2.239,2.2082
-4525.4281,-269.1817031,2.2349999999999994,2.2049
-4526.3027,-269.52256721,2.263000000000001,2.1984
