Method,a,b,c,alpha,beta,gamma,Energy
Default,4.812120515865837,4.81212051586583,7.458016672769009,89.9999999999998,90.00000000000014,119.99999983351752,-9.081066077248604
Bayes,4.17,4.246557074192907,7.0161618685996086,84.3843930745612,90.0,119.4054080060734,-0.3825204395752237
CMA1,4.17,5.333116968262997,7.224772635476783,49.22609681533816,89.99999999999997,113.01383328021491,-0.32441936646294084
CMA2,4.17,4.138157606778204,6.8427432891366795,89.30570813688337,90.0,120.25487084475152,-0.36952371691793723
GA,4.17,4.013015462585361,7.006378966584697,88.90172571976255,90.0,121.30270313252782,-0.34569035414800525
PSO,4.17,4.135988332210435,6.790225315328703,89.40292688196007,89.99999999999999,120.27240101480083,-0.39485513123855503
