Method,a,b,c,alpha,beta,gamma,Energy
Default,4.812134508597409,4.812134508597402,7.458952249254057,89.99999999999996,90.00000000000004,119.99999972975017,-9.081065087915281
PSO,4.17,3.7116989922469728,7.5398735909430314,90.56558740666715,89.99999999999999,124.17603324454059,-0.33293880800388664
GA,4.17,3.711698992246824,7.539873590942403,90.56558740666878,89.99999999999997,124.17603324454218,-0.33293880800388664
Bayes,4.17,3.7533301639898533,7.041671037224812,90.57564801259109,89.99999999999999,123.7456211313477,-0.3118517071680114
