Method,a,b,c,alpha,beta,gamma,Energy
Default,4.812120515865837,4.81212051586583,7.458016672769009,89.9999999999998,90.00000000000014,119.99999983351752,-9.081066077248604
Bayes,4.17,4.231617585071746,6.315179151752339,112.76902283786191,89.99999999999075,119.51947589692442,-0.37543660372832627
CMA1,4.17,4.21989446110638,6.7970569401891145,89.05906408688257,90.0,119.60964225741792,-0.3257381889818296
CMA2,4.17,4.14882130919997,6.789524200900486,89.27219984746202,90.0,120.1690078908479,-0.33696335382867937
GA,4.17,4.009034191414267,7.122751998363621,90.0038339407575,90.0,121.33730830014503,-0.31303416496291214
PSO,4.17,4.139322164021063,6.769397701510855,89.58444437702003,90.0,120.24546878564469,-0.3697323471814942
