Method,a,b,c,alpha,beta,gamma,Energy
Default,4.812120515865837,4.81212051586583,7.458016672769009,89.9999999999998,90.00000000000014,119.99999983351752,-9.081066077248604
CMA1,4.17,3.3781763973116603,7.8195060941225885,91.15785344868327,90.0,128.11172496284806,-0.3525791176399815
CMA2,4.17,3.2850336728108878,7.465269100335959,92.7747424562432,90.00000000000001,129.39749219032043,-0.3878748220521741
GA,4.17,3.7394744894896985,7.239408070216707,91.19619562695762,90.0,123.88756624649649,-0.38681886117016784
GAD,4.17,3.5224925290803593,7.487143766033908,99.17964127582057,90.0000000000003,126.2926942683966,-0.4189811263917599
PSO,4.17,4.996153350188033,4.181569582830454,65.91011893197764,89.99999999999253,114.66556981642842,-0.4228426274288829
