Method,a,b,c,alpha,beta,gamma,Energy
Default,4.812120500143639,4.812120500143638,7.458016424438551,90.00000000000027,89.99999999999976,119.9999998335189,-9.081066077668776
PSO,4.17,3.736696836110838,7.03561564524808,90.7808210996223,90.00000000000001,123.91617726513033,-0.3386511566558887
GA,4.17,4.291917900015905,4.773512880337416,104.25970146168952,90.00000000000395,119.06469005259629,-0.3275731133948688
Bayes,4.17,3.7922289242719125,7.0086191104633935,90.50596546492348,90.0,123.35388175148442,-0.3327926942468718
