% # columns="iteration, evaluation, void, void, void, xmean", seed=746417, Wed Jul 16 12:44:20 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 12 0 0 0 0.9741885853291012 2.8936537166286116 -0.09877841914592084 -14.569237194897854 -7.572215309472493 -2.4738501679445823 1.4653631972941052 1.578529565357284 1.1622433933793912 0.09477057937247306 -0.04431282667632794 0.0017841019188393871 0.429078447002897 16.890932657789367 0.9265335845305271 1.889595974544481
2 24 0 0 0 0.9589453267341326 2.894937385507226 -0.11516155385797705 -14.470921026510961 -7.6005974385617305 -2.4644714168492694 1.4407711975642916 1.5228875236925044 1.1389992036068324 0.06375089082160942 0.034468752261162965 -0.039520803233851695 0.3944660638335793 16.790209935178705 0.9771020188410882 1.9570875964751553
3 36 0 0 0 0.8797802367175415 2.9649593171267377 -0.0719783947716654 -14.479900133293498 -7.491144820738017 -2.4414471556004482 1.4274462264257635 1.44414372806733 1.0982080414560362 0.0687628122005984 0.1263636803808867 -0.06652576646399368 0.4808272698113155 16.699912860551812 0.9388290651333632 1.9523936026230855
4 48 0 0 0 0.8918943459283658 3.02895638521339 -0.09169549451138681 -14.537429992520792 -7.456131053140109 -2.440879773392758 1.505159037600384 1.4725385516381144 1.1015778889396843 0.0994062583692812 0.1637669853911617 -0.07846154550009582 0.41800073542017935 16.675181737839534 0.8892775878379025 1.934521719865121
5 60 0 0 0 0.8996650306769147 2.978527690832898 -0.1750956216974122 -14.60335053574371 -7.438877442122926 -2.361938415368742 1.4788518940091224 1.5383079377245745 1.1518024765494703 0.09250904296047446 0.170075536324334 -0.08533992783806942 0.45583230237939365 16.651932706982116 0.9622465768944869 1.9196098834990258
6 72 0 0 0 0.8613570129759688 2.9561234608441773 -0.14697490554682147 -14.545332328612782 -7.383289105807826 -2.4368178104861977 1.471660464750155 1.6014499988742932 1.121690647111869 0.07552631183941357 0.13327286292135493 -0.16916382703310306 0.43588806383472717 16.714006690552665 0.9803181043803794 1.9461994635300328
7 84 0 0 0 0.9281091247637029 3.009150460941102 -0.20887075355428159 -14.489423408791332 -7.377594029418644 -2.4408871142857973 1.5023051065123902 1.6721648671086327 1.1599936787954093 0.08889645280599887 0.08544067242613602 -0.14316171165395583 0.46887232857289274 16.70645085378344 0.9147020991542962 2.009526381055985
8 96 0 0 0 0.9284119160759791 3.043642382095961 -0.2180998362387215 -14.472046671144803 -7.398924598131762 -2.41625297957147 1.53142598022698 1.6772620383510233 1.1638872870354835 0.07105486600421447 0.04012993363493254 -0.14089469330739393 0.47470513519654906 16.738190627947596 0.9632276446025916 1.9199890143320137
9 108 0 0 0 0.8975984796509241 3.0512469691633304 -0.16601977767797252 -14.399510395447829 -7.304572724164867 -2.402380142236963 1.5281768928986665 1.658536962121833 1.1988780614291037 0.074357220401911 0.04724103697690855 -0.13967495214397757 0.4299528532514771 16.742935633325224 0.9180528987003271 1.8762963441985772
10 120 0 0 0 0.8815614871117335 3.0681211705431286 -0.1286881516418211 -14.497644534086584 -7.354286149248145 -2.4014714159734725 1.462830203732229 1.6942137084930755 1.1389662575611192 0.09069829399301724 0.0753436099972986 -0.1650013613529108 0.4516727623545882 16.693335624083513 0.8438531305654777 1.9111585266542506
10 120 0 0 0 0.8815614871117335 3.0681211705431286 -0.1286881516418211 -14.497644534086584 -7.354286149248145 -2.4014714159734725 1.462830203732229 1.6942137084930755 1.1389662575611192 0.09069829399301724 0.0753436099972986 -0.1650013613529108 0.4516727623545882 16.693335624083513 0.8438531305654777 1.9111585266542506
