% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=366691, Sun Aug  3 15:49:37 2025
1 14 0.09327642913029406 1.042134717049571 0.00563526531168271 1
2 28 0.08950599655187981 1.0625769522086486 0.005600900135355006 1
3 42 0.0877903096914196 1.0658348524253132 0.005511513960054248 1
4 56 0.0866693203010727 1.077581173893595 0.005520155591090527 1
5 70 0.08729438344106714 1.0583772608077155 0.005590490955796553 1
6 84 0.0889724186322123 1.1215239378806505 0.005418209867699731 1
7 98 0.0922078368112273 1.2179433205529075 0.005434272459855977 1
8 112 0.09591527954074502 1.2061639184206712 0.005276833760093273 1
9 126 0.09937974909557144 1.242761095991847 0.005349036194948665 1
10 140 0.10249554923531286 1.222114818568613 0.005295422696418859 1
11 154 0.1080457511615229 1.2260669829837931 0.005279433269713529 1
12 168 0.11288274421769715 1.2114581104941646 0.005053211075673918 1
13 182 0.11963110414320888 1.2441178148694032 0.004768160733938309 1
