generation,best_fitness,avg_fitness,std_fitness
0,0.008059125402875466,0.006305989529642776,0.00315950070523768
1,0.008116870125158404,0.00641355741799151,0.003207561122134063
2,0.008127847234345316,0.006235274886065079,0.003200803417849625
3,0.008155868050723396,0.006500926130094199,0.0032505058518492573
4,0.008173610894481983,0.005487736413379128,0.003645479697636615
5,0.00818292422074658,0.007245530814977692,0.0024298614559605256
6,0.008186746488835116,0.007164472224977026,0.002417551999337315
7,0.0081953068048793,0.0081661410311195,4.780018294243499e-05
8,0.008195757639436052,0.007352434627252551,0.0022009358712797144
9,0.008199515540144883,0.007583957756498177,0.0018242077707123082
10,0.008202964677948493,0.008196223550484128,4.594896795099101e-06
11,0.008208167183244864,0.008201558176426548,3.1776565922952835e-06
12,0.008212863823230691,0.008206964011566203,4.132059421957976e-06
13,0.008219320149001856,0.008211302324226719,6.589086131473027e-06
14,0.008224091512481302,0.00821872325440617,5.268569430403385e-06
15,0.008227014079364055,0.008223560655457632,4.397372188624224e-06
16,0.008231624113662508,0.008032663911163664,0.0005849122985306431
17,0.008231589267389544,0.003568343372702616,0.0038882662166084365
18,0.008231683436182231,0.007248534252517589,0.002051602593169975
19,0.008231958669803249,0.008228867895136481,2.840560883873075e-06
