generation,best_fitness,avg_fitness,std_fitness
0,6.641773107467572,6.641773107467572,0.0
1,7.5265002675170365,7.5265002675170365,0.0
2,9.41845210391886,9.41845210391886,0.0
3,3.932189672892764,3.932189672892764,0.0
4,7.51297480809062,7.51297480809062,0.0
5,6.2413913705377535,6.2413913705377535,0.0
6,9.32854872719277,9.32854872719277,0.0
7,9.041685699255966,9.041685699255966,0.0
8,9.88763028414189,9.88763028414189,0.0
9,3.9220876428280604,3.9220876428280604,0.0
10,3.8442748458848603,3.8442748458848603,0.0
11,3.4407090788780472,3.4407090788780472,0.0
12,7.906576987189322,7.906576987189322,0.0
13,8.637053403857283,8.637053403857283,0.0
14,3.26062445970695,3.26062445970695,0.0
15,1.8698526268398092,1.8698526268398092,0.0
16,6.894320781961847,6.894320781961847,0.0
17,1.7983731098369917,1.7983731098369917,0.0
18,3.9104316758736326,3.9104316758736326,0.0
19,6.880909237208077,6.880909237208077,0.0
20,307.0111967633747,307.0111967633747,0.0
21,4.045031447528857,4.045031447528857,0.0
22,11.999605323330396,11.999605323330396,0.0
23,6.2427617032976155,6.2427617032976155,0.0
24,3.194454002302958,3.194454002302958,0.0
25,11.55528656283983,11.55528656283983,0.0
26,7.761215267584067,7.761215267584067,0.0
27,4.561254184031671,4.561254184031671,0.0
28,6.3396763944777454,6.3396763944777454,0.0
29,1.4064985469630908,1.4064985469630908,0.0
30,4.2819698051705934,4.2819698051705934,0.0
31,1.9257638537640918,1.9257638537640918,0.0
32,1.9790737962223135,1.9790737962223135,0.0
33,1.938455422413928,1.938455422413928,0.0
34,2.455968630224191,2.455968630224191,0.0
35,2.0260596846150927,2.0260596846150927,0.0
36,1.704614101181277,1.704614101181277,0.0
37,1.46069574991414,1.46069574991414,0.0
38,2.3516835820252586,2.3516835820252586,0.0
39,10.415573730332065,10.415573730332065,0.0
40,2.290023363646173,2.290023363646173,0.0
41,1.4899524432241362,1.4899524432241362,0.0
42,1.2955763859783964,1.2955763859783964,0.0
43,1.5105770356283594,1.5105770356283594,0.0
44,1.2670076778292296,1.2670076778292296,0.0
45,2.6593698585259284,2.6593698585259284,0.0
46,1.4463777368594695,1.4463777368594695,0.0
47,1.440325258960243,1.440325258960243,0.0
48,3.0386076253057714,3.0386076253057714,0.0
49,2.0280889635940054,2.0280889635940054,0.0
50,1.8540335123899494,1.8540335123899494,0.0
51,2.584225538716003,2.584225538716003,0.0
52,1.5668663996494105,1.5668663996494105,0.0
53,2.076697176692626,2.076697176692626,0.0
54,1.373622066367124,1.373622066367124,0.0
55,1.4900742992033993,1.4900742992033993,0.0
56,1.500367265455223,1.500367265455223,0.0
57,1.2587730107500477,1.2587730107500477,0.0
58,1.3483105218778522,1.3483105218778522,0.0
59,1.3045879990415008,1.3045879990415008,0.0
60,1.4274562314218215,1.4274562314218215,0.0
61,1.3759633938326221,1.3759633938326221,0.0
62,1.2997534650393447,1.2997534650393447,0.0
63,2.4728452552303417,2.4728452552303417,0.0
64,1.3087138466178478,1.3087138466178478,0.0
65,1.305287494677776,1.305287494677776,0.0
66,1.7968211374171243,1.7968211374171243,0.0
67,2.514344060118844,2.514344060118844,0.0
68,2.3306595196521327,2.3306595196521327,0.0
69,1.768231825526088,1.768231825526088,0.0
70,1.627086328862159,1.627086328862159,0.0
71,1.7162807625510514,1.7162807625510514,0.0
72,255.33406214415658,255.33406214415658,0.0
73,2.6206596352548592,2.6206596352548592,0.0
74,1.2396972316612072,1.2396972316612072,0.0
75,1.8775856383208445,1.8775856383208445,0.0
76,1.230760944573956,1.230760944573956,0.0
77,1.3277283839957716,1.3277283839957716,0.0
78,1.256866498030957,1.256866498030957,0.0
79,1.7032958873633337,1.7032958873633337,0.0
80,1.5422276526648258,1.5422276526648258,0.0
