generation,best_fitness,avg_fitness,std_fitness
0,1000.0,1000.0,0.0
1,124.98576423183839,124.98576423183839,0.0
2,323834.72715400025,323834.72715400025,0.0
3,132.39496301080774,132.39496301080774,0.0
4,157.3579929642094,157.3579929642094,0.0
5,295.4980465825486,295.4980465825486,0.0
6,122.91175113318872,122.91175113318872,0.0
7,122.27151335739786,122.27151335739786,0.0
8,285.5763376875094,285.5763376875094,0.0
9,139.2309407157448,139.2309407157448,0.0
10,125.97877725766361,125.97877725766361,0.0
11,1000.0,1000.0,0.0
12,397.9977005732823,397.9977005732823,0.0
13,128.27835179040005,128.27835179040005,0.0
14,155.84890876340634,155.84890876340634,0.0
15,139.66803433685655,139.66803433685655,0.0
16,122.82232079978411,122.82232079978411,0.0
17,1000.0,1000.0,0.0
18,144.10817208956894,144.10817208956894,0.0
19,1000.0,1000.0,0.0
20,121.37411870237783,121.37411870237783,0.0
21,1000.0,1000.0,0.0
22,1000.0,1000.0,0.0
23,178.35905330035413,178.35905330035413,0.0
24,1000.0,1000.0,0.0
25,122.90486239131326,122.90486239131326,0.0
26,1000.0,1000.0,0.0
27,166.5106113560883,166.5106113560883,0.0
28,1000.0,1000.0,0.0
29,143.10194944838597,143.10194944838597,0.0
30,1000.0,1000.0,0.0
31,161.24677452017835,161.24677452017835,0.0
32,1000.0,1000.0,0.0
33,158.34305864403808,158.34305864403808,0.0
34,130.82078343313978,130.82078343313978,0.0
35,1000.0,1000.0,0.0
36,1000.0,1000.0,0.0
37,123.87800607907648,123.87800607907648,0.0
38,123.4353820759528,123.4353820759528,0.0
39,1000.0,1000.0,0.0
40,1000.0,1000.0,0.0
41,130.99627857007053,130.99627857007053,0.0
42,1000.0,1000.0,0.0
43,141.08688112792038,141.08688112792038,0.0
44,162.73567218230448,162.73567218230448,0.0
45,139.5328247553802,139.5328247553802,0.0
46,145.06708159036913,145.06708159036913,0.0
47,188.85393895483023,188.85393895483023,0.0
48,1000.0,1000.0,0.0
49,144.37092777380127,144.37092777380127,0.0
50,178.68724221183203,178.68724221183203,0.0
51,241.99408261082863,241.99408261082863,0.0
52,1000.0,1000.0,0.0
53,159.39082050218613,159.39082050218613,0.0
54,1000.0,1000.0,0.0
55,1000.0,1000.0,0.0
56,1000.0,1000.0,0.0
57,123.13987488155671,123.13987488155671,0.0
58,565.7890391548777,565.7890391548777,0.0
59,125.34853817248404,125.34853817248404,0.0
60,123.25195182048547,123.25195182048547,0.0
61,1000.0,1000.0,0.0
62,137.34534048066428,137.34534048066428,0.0
63,187.91515937924964,187.91515937924964,0.0
64,1000.0,1000.0,0.0
65,137.44749787399283,137.44749787399283,0.0
66,1000.0,1000.0,0.0
67,190.84999973150414,190.84999973150414,0.0
68,123.6196464934258,123.6196464934258,0.0
69,173.02967027679136,173.02967027679136,0.0
70,124.06672112446161,124.06672112446161,0.0
71,209.8237097752938,209.8237097752938,0.0
72,149.2347758170156,149.2347758170156,0.0
73,139.7055939481391,139.7055939481391,0.0
74,129.37488325544928,129.37488325544928,0.0
75,1000.0,1000.0,0.0
76,1000.0,1000.0,0.0
77,1000.0,1000.0,0.0
78,127.87028538610201,127.87028538610201,0.0
79,124.46916688698157,124.46916688698157,0.0
80,1000.0,1000.0,0.0
81,1000.0,1000.0,0.0
82,1000.0,1000.0,0.0
83,127.17969715308413,127.17969715308413,0.0
84,137.28964907787076,137.28964907787076,0.0
85,158.4649055072733,158.4649055072733,0.0
86,1000.0,1000.0,0.0
87,1000.0,1000.0,0.0
88,126.23217792881505,126.23217792881505,0.0
89,1000.0,1000.0,0.0
90,139.07034065815327,139.07034065815327,0.0
91,139.72706545714738,139.72706545714738,0.0
92,1000.0,1000.0,0.0
93,154.41364408623244,154.41364408623244,0.0
94,1328.0210934067131,1328.0210934067131,0.0
95,1000.0,1000.0,0.0
96,1000.0,1000.0,0.0
97,1000.0,1000.0,0.0
98,121.70532391580832,121.70532391580832,0.0
99,1000.0,1000.0,0.0
100,1000.0,1000.0,0.0
101,208.18477955403475,208.18477955403475,0.0
102,1000.0,1000.0,0.0
103,134.7882627786305,134.7882627786305,0.0
104,122.94991372229528,122.94991372229528,0.0
105,1000.0,1000.0,0.0
106,162.8899231820532,162.8899231820532,0.0
107,142.11755294800707,142.11755294800707,0.0
108,124.17424337351348,124.17424337351348,0.0
109,121.70979453166055,121.70979453166055,0.0
110,1000.0,1000.0,0.0
111,194.36551703186748,194.36551703186748,0.0
112,310.0864315017023,310.0864315017023,0.0
113,1000.0,1000.0,0.0
114,251.84065756250723,251.84065756250723,0.0
115,374.4458100041808,374.4458100041808,0.0
116,1000.0,1000.0,0.0
117,124.86142226952471,124.86142226952471,0.0
118,1000.0,1000.0,0.0
119,158.53222396710396,158.53222396710396,0.0
120,1000.0,1000.0,0.0
121,1000.0,1000.0,0.0
122,136.63480807406546,136.63480807406546,0.0
123,1000.0,1000.0,0.0
124,137.83994117274582,137.83994117274582,0.0
125,1000.0,1000.0,0.0
126,125.15765853478729,125.15765853478729,0.0
127,122.31158628147712,122.31158628147712,0.0
128,1000.0,1000.0,0.0
129,1000.0,1000.0,0.0
130,124.92211754522408,124.92211754522408,0.0
131,1000.0,1000.0,0.0
132,1000.0,1000.0,0.0
133,122.7937749258334,122.7937749258334,0.0
134,1000.0,1000.0,0.0
135,203.49678778748026,203.49678778748026,0.0
136,144.35202922710408,144.35202922710408,0.0
137,178.3853060052702,178.3853060052702,0.0
138,1000.0,1000.0,0.0
139,1000.0,1000.0,0.0
140,1000.0,1000.0,0.0
141,139.32154640594143,139.32154640594143,0.0
142,212.97381093469153,212.97381093469153,0.0
143,124.11323319908023,124.11323319908023,0.0
144,177.84101463234987,177.84101463234987,0.0
145,142.44665244802835,142.44665244802835,0.0
146,199.73621016419662,199.73621016419662,0.0
147,1000.0,1000.0,0.0
148,161.64203563539448,161.64203563539448,0.0
149,188.781965263953,188.781965263953,0.0
150,1000.0,1000.0,0.0
151,137.43377470269792,137.43377470269792,0.0
152,135.9072746832718,135.9072746832718,0.0
153,126.8056951802933,126.8056951802933,0.0
154,1000.0,1000.0,0.0
155,125.96451634061962,125.96451634061962,0.0
156,144.4867233603232,144.4867233603232,0.0
157,167.0656867737241,167.0656867737241,0.0
158,121.72577704576696,121.72577704576696,0.0
159,140.73404431480435,140.73404431480435,0.0
160,502.66639228698244,502.66639228698244,0.0
161,123.73462953805885,123.73462953805885,0.0
162,1000.0,1000.0,0.0
163,184.78846456428022,184.78846456428022,0.0
164,1000.0,1000.0,0.0
165,140.6212466620155,140.6212466620155,0.0
166,164.9395525043243,164.9395525043243,0.0
167,1000.0,1000.0,0.0
168,159.6572776462002,159.6572776462002,0.0
169,122.65549104046589,122.65549104046589,0.0
170,157.43402676775503,157.43402676775503,0.0
171,1000.0,1000.0,0.0
172,1000.0,1000.0,0.0
173,138.14705943090658,138.14705943090658,0.0
174,123.19849317331945,123.19849317331945,0.0
175,146.64465525939625,146.64465525939625,0.0
176,183.44979378016922,183.44979378016922,0.0
177,122.5277759117153,122.5277759117153,0.0
178,1000.0,1000.0,0.0
179,123.10774631088668,123.10774631088668,0.0
180,1000.0,1000.0,0.0
181,213.79126996564673,213.79126996564673,0.0
182,1000.0,1000.0,0.0
183,324.339628052896,324.339628052896,0.0
184,125.6606453633382,125.6606453633382,0.0
185,1000.0,1000.0,0.0
186,135.94495860454768,135.94495860454768,0.0
187,144.7559375155257,144.7559375155257,0.0
188,174.4043375063598,174.4043375063598,0.0
189,148.5477274029757,148.5477274029757,0.0
190,123.64348507707648,123.64348507707648,0.0
191,141.51982986996993,141.51982986996993,0.0
192,1000.0,1000.0,0.0
193,1000.0,1000.0,0.0
194,1000.0,1000.0,0.0
195,135.02856261112325,135.02856261112325,0.0
196,140.3784214474312,140.3784214474312,0.0
197,1000.0,1000.0,0.0
198,123.8764344901185,123.8764344901185,0.0
199,1000.0,1000.0,0.0
200,147.25250805457102,147.25250805457102,0.0
201,173.59786193273084,173.59786193273084,0.0
